SampleID	EdgeA	EdgeB	XEdge	TriangleXAX	L3XAX	
350000	7.00000	1.00000	154.00000	41.00000	1311.00000	
351000	6.00000	1.00000	132.00000	21.00000	715.00000	
352000	5.00000	3.00000	134.00000	14.00000	558.00000	
353000	9.00000	2.00000	152.00000	30.00000	1186.00000	
354000	10.00000	3.00000	161.00000	47.00000	1653.00000	
355000	13.00000	1.00000	163.00000	47.00000	2161.00000	
356000	10.00000	2.00000	152.00000	27.00000	1294.00000	
357000	8.00000	4.00000	176.00000	46.00000	1673.00000	
358000	6.00000	1.00000	186.00000	39.00000	1501.00000	
359000	6.00000	0.00000	177.00000	36.00000	1207.00000	
360000	8.00000	1.00000	188.00000	53.00000	1887.00000	
361000	10.00000	3.00000	185.00000	45.00000	1886.00000	
362000	6.00000	1.00000	166.00000	24.00000	987.00000	
363000	6.00000	1.00000	157.00000	12.00000	700.00000	
364000	5.00000	1.00000	167.00000	19.00000	723.00000	
365000	3.00000	1.00000	154.00000	14.00000	460.00000	
366000	6.00000	3.00000	157.00000	27.00000	918.00000	
367000	7.00000	2.00000	185.00000	44.00000	1648.00000	
368000	9.00000	1.00000	180.00000	49.00000	1979.00000	
369000	9.00000	2.00000	169.00000	40.00000	1948.00000	
370000	9.00000	2.00000	162.00000	35.00000	1415.00000	
371000	13.00000	1.00000	154.00000	55.00000	1969.00000	
372000	10.00000	1.00000	165.00000	46.00000	1745.00000	
373000	8.00000	2.00000	163.00000	34.00000	1440.00000	
374000	7.00000	1.00000	163.00000	31.00000	1479.00000	
375000	8.00000	1.00000	166.00000	41.00000	1600.00000	
376000	7.00000	2.00000	172.00000	27.00000	1321.00000	
377000	5.00000	4.00000	138.00000	15.00000	520.00000	
378000	6.00000	2.00000	155.00000	18.00000	851.00000	
379000	7.00000	3.00000	149.00000	21.00000	1021.00000	
380000	6.00000	1.00000	154.00000	20.00000	980.00000	
381000	5.00000	1.00000	148.00000	17.00000	628.00000	
382000	5.00000	1.00000	143.00000	12.00000	515.00000	
383000	3.00000	1.00000	143.00000	12.00000	478.00000	
384000	6.00000	3.00000	149.00000	21.00000	863.00000	
385000	8.00000	5.00000	158.00000	39.00000	1323.00000	
386000	9.00000	3.00000	160.00000	33.00000	1447.00000	
387000	10.00000	2.00000	165.00000	46.00000	1968.00000	
388000	8.00000	2.00000	166.00000	35.00000	1434.00000	
389000	8.00000	3.00000	168.00000	42.00000	1527.00000	
390000	9.00000	2.00000	178.00000	68.00000	2513.00000	
391000	7.00000	4.00000	173.00000	51.00000	1974.00000	
392000	8.00000	2.00000	175.00000	56.00000	2327.00000	
393000	10.00000	4.00000	184.00000	69.00000	2830.00000	
394000	7.00000	3.00000	163.00000	37.00000	1461.00000	
395000	7.00000	2.00000	155.00000	30.00000	1118.00000	
396000	2.00000	0.00000	151.00000	6.00000	239.00000	
397000	8.00000	1.00000	163.00000	33.00000	1009.00000	
398000	12.00000	2.00000	179.00000	70.00000	2427.00000	
399000	7.00000	0.00000	164.00000	34.00000	1162.00000	
400000	7.00000	1.00000	150.00000	24.00000	914.00000	
401000	9.00000	2.00000	161.00000	31.00000	1574.00000	
402000	10.00000	0.00000	186.00000	60.00000	2644.00000	
403000	9.00000	1.00000	189.00000	57.00000	1985.00000	
404000	6.00000	1.00000	185.00000	32.00000	1343.00000	
